,DHd_2016.zip,DHd_2017.zip,DHd_2018.zip,DHd_2019.zip,DHd_2020.zip,DHd_2022.zip,DHd_2023.zip
Forschungsdatenmanagement,0.013,0.0,0.013,0.031,0.019,0.031,0.006
Kostümsprache,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Mustersprache,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Ähnlichkeitsanalyse,0.006,0.0,0.0,0.0,0.0,0.006,0.0
Empirische Filmanalyse,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Daten Visualisierung,0.006,0.0,0.0,0.0,0.0,0.0,0.0
digitales Publizieren,0.006,0.0,0.0,0.0,0.006,0.0,0.0
Autorschaft,0.013,0.0,0.0,0.0,0.0,0.0,0.0
Review-Verfahren,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Langzeitarchivierung,0.031,0.006,0.013,0.006,0.0,0.019,0.0
Korpora,0.019,0.0,0.0,0.019,0.0,0.0,0.006
Sociale Medien,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Social Media,0.006,0.0,0.0,0.006,0.006,0.006,0.0
Internetbasierte Kommunikation,0.006,0.0,0.0,0.0,0.0,0.0,0.0
CMC,0.006,0.006,0.0,0.0,0.0,0.0,0.0
Korpuslinguistik,0.031,0.0,0.013,0.013,0.006,0.013,0.006
Parts of speech,0.006,0.0,0.0,0.0,0.0,0.0,0.0
TEI,0.025,0.019,0.05,0.013,0.025,0.019,0.013
STTS,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Digitale Genres,0.006,0.0,0.0,0.0,0.0,0.0,0.0
TaDiRAH,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Taxonomie,0.013,0.0,0.0,0.0,0.0,0.0,0.0
Übersetzung,0.006,0.0,0.0,0.006,0.0,0.0,0.0
islamische manuskripte,0.006,0.0,0.0,0.0,0.0,0.0,0.0
bibliographische datenbank,0.006,0.0,0.0,0.0,0.0,0.0,0.0
entwicklung,0.006,0.0,0.0,0.0,0.0,0.0,0.0
netzwerke,0.006,0.0,0.0,0.0,0.0,0.0,0.0
visualisierung,0.006,0.0,0.0,0.006,0.0,0.0,0.0
Explorative Netzwerkvisualisierung,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Indexierung,0.006,0.0,0.0,0.0,0.0,0.006,0.0
histoGraph,0.006,0.0,0.0,0.0,0.0,0.0,0.0
XML,0.025,0.0,0.013,0.013,0.013,0.0,0.0
GUI,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Arbeitsablauf,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Metaphern,0.006,0.0,0.0,0.0,0.006,0.006,0.006
19. Jahrhundert,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Natur und Staat,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Forschungsdatenzentrum,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Beratung,0.006,0.0,0.0,0.0,0.0,0.0,0.006
DatenkuratorInnen,0.006,0.0,0.0,0.0,0.0,0.0,0.0
normalization,0.006,0.0,0.0,0.0,0.0,0.0,0.0
regular expressions,0.006,0.0,0.0,0.0,0.0,0.0,0.0
date recognition,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Distant Reading,0.006,0.0,0.006,0.0,0.013,0.013,0.006
Literaturgeschichte,0.013,0.0,0.006,0.0,0.0,0.013,0.013
Dramatik,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Netzwerkanalyse,0.013,0.006,0.013,0.013,0.019,0.013,0.013
Konfliktforschung,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Multiperspektivität,0.006,0.0,0.0,0.006,0.0,0.0,0.0
Semantic Web,0.05,0.006,0.019,0.006,0.006,0.006,0.025
Linked Data,0.006,0.006,0.006,0.006,0.0,0.013,0.0
Visuelle Analyse,0.006,0.006,0.0,0.0,0.0,0.0,0.006
Inventar,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Handschrift,0.013,0.0,0.0,0.0,0.0,0.0,0.0
Inkunabel,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Provenance,0.006,0.0,0.0,0.006,0.0,0.0,0.0
Raumbezüge,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Textkorpus,0.006,0.0,0.0,0.0,0.0,0.0,0.006
Ortsannotationen,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Wientopographie,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Online Edition,0.013,0.0,0.0,0.0,0.0,0.0,0.0
XML-TEI,0.013,0.0,0.0,0.0,0.0,0.0,0.0
Reisebeschreibung,0.006,0.0,0.0,0.0,0.0,0.0,0.0
lebendige Geschichte,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Mapping,0.006,0.0,0.0,0.0,0.006,0.0,0.0
GoetheFind,0.006,0.0,0.0,0.0,0.0,0.0,0.0
anchor-key XML,0.006,0.0,0.0,0.0,0.0,0.0,0.0
No SQL-Database,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Faksimile-Viewer,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Multimedia,0.006,0.0,0.0,0.013,0.0,0.0,0.0
Ambiguität,0.006,0.006,0.006,0.0,0.006,0.0,0.0
Korpus,0.013,0.013,0.013,0.013,0.006,0.013,0.006
interdisziplinäre Annotation,0.006,0.0,0.0,0.0,0.0,0.0,0.0
NLP,0.019,0.0,0.006,0.013,0.019,0.013,0.006
NLTK,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Ontologie,0.019,0.006,0.037,0.0,0.013,0.006,0.019
CIDOC CRM,0.013,0.006,0.019,0.0,0.013,0.0,0.019
Lizenzen,0.006,0.0,0.006,0.0,0.0,0.0,0.0
Recht,0.006,0.0,0.019,0.0,0.0,0.0,0.0
Literatur,0.025,0.013,0.013,0.013,0.006,0.006,0.006
Digitalisierung,0.025,0.013,0.031,0.013,0.013,0.037,0.013
Metadaten,0.013,0.013,0.013,0.019,0.019,0.037,0.013
Digitales Publizieren; Open Access; Enhanced Publication; Statement Finder; Experteninterview,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Forschungsdatenmanagement; Bestandsbezogene Forschung,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Design,0.006,0.0,0.006,0.0,0.0,0.0,0.0
Emotionen,0.013,0.0,0.0,0.0,0.0,0.0,0.0
Gernika,0.006,0.0,0.0,0.0,0.0,0.0,0.0
europäische Öffentlichkeiten,0.006,0.0,0.0,0.0,0.0,0.0,0.0
semantic web,0.006,0.0,0.0,0.0,0.013,0.006,0.006
Yenda,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Virtuelle Forschungsumgebungen,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Musikedition,0.006,0.0,0.0,0.006,0.006,0.0,0.006
Datenressourcen,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Lexikografie,0.013,0.0,0.0,0.0,0.0,0.0,0.0
Nutzerstudien,0.006,0.0,0.0,0.0,0.006,0.0,0.0
nutzerorientierte Softwareentwicklung,0.006,0.0,0.0,0.0,0.0,0.0,0.0
interdisziplinäre Forschung,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Netzwerktheorie,0.006,0.0,0.0,0.0,0.0,0.0,0.0
historische Epistemologie,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Wissenschaftsgeschichte,0.006,0.006,0.006,0.0,0.0,0.006,0.0
Typografie,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Digitale Edition,0.013,0.031,0.025,0.031,0.025,0.031,0.031
Ontologien,0.013,0.0,0.006,0.0,0.0,0.0,0.0
Literaturwissenschaft,0.013,0.006,0.013,0.006,0.0,0.006,0.013
regionale Zusammenarbeit,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Mitteldeutschland,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Operative Bildlichkeit,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Archivierung,0.013,0.0,0.013,0.0,0.0,0.006,0.0
Sprachdokumentation,0.013,0.0,0.006,0.0,0.0,0.0,0.0
Natural Language Processing,0.013,0.006,0.0,0.0,0.0,0.006,0.013
Tool,0.013,0.0,0.0,0.013,0.0,0.0,0.0
SharedCanvas,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Portale,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Semanic Web,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Arbeitsgruppe,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Digitale Romanistik,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Dissemination,0.006,0.0,0.0,0.006,0.006,0.006,0.0
Semantische Web,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Wissensmodellierung,0.013,0.0,0.0,0.0,0.0,0.0,0.006
WissKI,0.006,0.006,0.019,0.0,0.006,0.0,0.019
Virtuelle Forschungsumgebung,0.013,0.006,0.0,0.0,0.0,0.0,0.006
digitale Edition,0.006,0.013,0.006,0.0,0.006,0.019,0.006
Forschungsportal,0.006,0.0,0.006,0.0,0.0,0.0,0.0
Handschriften,0.006,0.0,0.0,0.006,0.006,0.0,0.0
Briefe,0.006,0.0,0.0,0.019,0.0,0.006,0.006
Dialektologie,0.006,0.0,0.006,0.0,0.0,0.0,0.0
Lexikographie,0.006,0.0,0.013,0.0,0.0,0.006,0.0
Citizen Science,0.006,0.006,0.0,0.0,0.006,0.006,0.019
Blog,0.013,0.0,0.0,0.0,0.0,0.0,0.0
Forschungsinfrastruktur,0.019,0.006,0.006,0.006,0.006,0.006,0.0
Datenerschließung,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Webportal,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Kulturerbe,0.013,0.0,0.0,0.0,0.0,0.006,0.013
Retrodigitalisierung,0.006,0.0,0.0,0.0,0.0,0.0,0.0
virtuelle Sammlungen,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Begleitforschung,0.006,0.006,0.0,0.0,0.0,0.0,0.0
Nutzerverhalten,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Usability,0.013,0.0,0.0,0.006,0.0,0.0,0.0
Erfolgskriterien,0.006,0.006,0.0,0.0,0.0,0.0,0.0
Forschungsinfrastrukturen,0.006,0.0,0.006,0.0,0.0,0.0,0.0
Forschungsinfrastruktur; Cloud Services; Dialektlexikographie; Workplace Innovation,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Informationsvisualisierung,0.006,0.013,0.019,0.0,0.0,0.0,0.0
Kohärenztechniken,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Mentale Modelle,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Visuelle Syntax,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Interoperabilität von Bildern,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Plattform,0.006,0.0,0.0,0.0,0.006,0.0,0.006
Lehrmaterialien,0.006,0.0,0.0,0.0,0.0,0.0,0.0
textuelle Daten,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Computerlinguistik,0.006,0.013,0.025,0.0,0.0,0.013,0.0
Datensäuberung,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Hermeneutische Schleife,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Methodologie,0.013,0.006,0.013,0.0,0.006,0.0,0.0
Itinerarerschließung,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Altwege- bzw. Altstraßenforschung,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Gazetteeranreicherung,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Kodikology,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Bildwissenschaft,0.006,0.0,0.0,0.0,0.006,0.0,0.0
Katalogisierung,0.006,0.0,0.0,0.0,0.0,0.006,0.0
Algorithmen,0.006,0.0,0.006,0.006,0.0,0.0,0.0
Diskursanalyse,0.006,0.0,0.0,0.006,0.0,0.0,0.006
semantische Modellierung,0.006,0.0,0.0,0.0,0.006,0.0,0.0
SKOS,0.006,0.0,0.0,0.0,0.0,0.006,0.0
historische Reiseführer,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Motif Index,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Märchen,0.006,0.0,0.006,0.0,0.0,0.006,0.0
Repository,0.006,0.0,0.006,0.0,0.0,0.0,0.0
Web Service,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Sprachdatenbanken,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Kuration,0.006,0.0,0.0,0.006,0.0,0.0,0.0
Suche,0.006,0.0,0.0,0.0,0.0,0.0,0.006
text mining,0.006,0.0,0.006,0.0,0.0,0.013,0.0
Forschungsdateninfrastruktur,0.006,0.0,0.006,0.006,0.0,0.006,0.0
Sprachwandel,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Diachronie,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Romantik,0.006,0.0,0.0,0.0,0.006,0.0,0.0
Google Books,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Deutsch,0.013,0.0,0.0,0.0,0.0,0.0,0.0
Topic-Modellen,0.006,0.0,0.0,0.0,0.0,0.0,0.0
WebLicht,0.006,0.0,0.0,0.0,0.0,0.0,0.0
dynamisches Stemma,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Stemmatologie,0.006,0.0,0.0,0.0,0.006,0.0,0.0
Manuskriptologie,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Tag Clouds,0.006,0.0,0.0,0.0,0.0,0.0,0.0
TagPies,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Graphdatenbanken,0.006,0.006,0.0,0.0,0.0,0.0,0.0
Netzwerke,0.006,0.0,0.0,0.0,0.006,0.0,0.0
Methodenentwicklung,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Textanalyse,0.019,0.0,0.013,0.0,0.013,0.019,0.013
Modulariserung,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Bildungsgeschichte,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Annotieren,0.006,0.0,0.0,0.0,0.0,0.0,0.013
Software,0.006,0.0,0.0,0.006,0.013,0.0,0.013
Textquellen,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Editorisches Konzept,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Graphische Rekonstruktion,0.006,0.0,0.0,0.0,0.0,0.0,0.0
XSLT,0.006,0.0,0.0,0.0,0.006,0.0,0.0
Multimodalität,0.006,0.0,0.006,0.006,0.0,0.013,0.0
Modalitätsinterdependenz,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Mündliche Korpora,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Analyse-Plattform,0.013,0.0,0.0,0.0,0.0,0.0,0.0
Paläographie,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Keilschrift,0.013,0.006,0.006,0.006,0.0,0.0,0.0
Bildannotation,0.006,0.0,0.0,0.0,0.0,0.006,0.006
Text,0.006,0.0,0.0,0.006,0.0,0.013,0.019
Kollation,0.006,0.0,0.0,0.006,0.0,0.0,0.0
Apache SOLR,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Typo3,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Höfe- und Residenzen,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Hypertext,0.006,0.0,0.006,0.006,0.0,0.0,0.0
Finite-State-Morphologie,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Dialektometrie,0.006,0.0,0.0,0.0,0.0,0.0,0.0
neue Datenarten,0.006,0.0,0.0,0.0,0.0,0.0,0.0
digitale Literatur,0.006,0.0,0.0,0.0,0.0,0.0,0.0
kollaboratives Schreiben,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Modellbildung,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Korpusinfrastruktur,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Drucktypen,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Mustererkennung,0.006,0.0,0.0,0.006,0.006,0.0,0.0
Typenrepertorium,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Inkunabeln,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Frühe Neuzeit,0.006,0.0,0.0,0.0,0.006,0.013,0.006
Drama,0.006,0.006,0.013,0.0,0.006,0.019,0.013
Werkbank,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Sprachverarbeitung,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Modellierung sprachlicher Muster,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Lokale Grammatiken,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Analyse der Berichterstattung von Unternehmenszusammenschlüssen,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Koreferenzresolution,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Alignierung,0.006,0.0,0.0,0.006,0.0,0.006,0.0
Russisch,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Klassifikation,0.006,0.006,0.006,0.013,0.006,0.0,0.0
Argument,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Deliberation,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Politikwissenschaft,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Stilometrie,0.025,0.0,0.019,0.019,0.019,0.0,0.0
Autorschaftsattribution,0.013,0.0,0.0,0.006,0.0,0.0,0.0
Delta,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Datenmodell,0.006,0.0,0.0,0.0,0.006,0.0,0.0
Virtualisierung,0.006,0.0,0.0,0.006,0.0,0.0,0.0
Interfakultär,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Mobil,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Raumgebunden,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Entwicklungsprozess,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Kooperation,0.006,0.006,0.0,0.0,0.0,0.013,0.006
Texttechnolgie,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Intertextualitätsforschung,0.006,0.0,0.0,0.0,0.0,0.0,0.0
wikidition,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Open-Source-Worklflow,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Infrastrukturbildung,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Standardisierung,0.006,0.006,0.019,0.013,0.0,0.006,0.0
Nachnutzung,0.013,0.013,0.013,0.0,0.006,0.013,0.025
digitale Briefedition,0.006,0.0,0.0,0.0,0.0,0.006,0.006
Data Mining,0.006,0.0,0.006,0.0,0.0,0.0,0.0
Pattern Mining,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Machine Learning,0.006,0.0,0.013,0.025,0.006,0.006,0.006
algorithmische Visualisierung,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Visual Analytics,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Coding Cultures,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Denkstile,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Computer Vision,0.006,0.0,0.006,0.0,0.006,0.006,0.013
Bildanalyse,0.013,0.006,0.013,0.0,0.0,0.0,0.0
Kunstgeschichte,0.006,0.006,0.0,0.019,0.006,0.031,0.006
Erschließung,0.006,0.006,0.006,0.0,0.006,0.013,0.0
Bilddatenbanken,0.013,0.006,0.0,0.0,0.0,0.0,0.0
Corpusanalyse,0.006,0.0,0.0,0.0,0.0,0.0,0.0
multimodale Erzählungen,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Comics,0.006,0.006,0.006,0.006,0.0,0.0,0.0
Meta-Analyse,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Validierung,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Topic Modelling,0.013,0.0,0.0,0.006,0.006,0.0,0.0
Gamification,0.006,0.0,0.006,0.0,0.0,0.0,0.0
TextGrid Repository,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Rechtslinguistik,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Sprache und Recht,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Referenzkorpus,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Archiv,0.006,0.0,0.0,0.006,0.0,0.006,0.006
best practices,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Standards,0.006,0.0,0.006,0.006,0.013,0.013,0.006
Scholarly Domain Model,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Scholarly Primitives,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Virtuelle Forschungsinfrastruktur,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Kafka,0.013,0.0,0.0,0.0,0.0,0.0,0.0
Stil,0.006,0.006,0.006,0.0,0.0,0.0,0.0
POS,0.006,0.006,0.006,0.0,0.0,0.0,0.0
Literarische Moderne,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Definition,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Philosophie,0.006,0.0,0.006,0.0,0.019,0.0,0.0
Wissenschaftstheorie,0.006,0.0,0.006,0.0,0.006,0.0,0.0
Software Engineering,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Korpusanalyse,0.006,0.0,0.0,0.0,0.006,0.013,0.0
RDF,0.013,0.013,0.0,0.019,0.0,0.0,0.0
Big Data,0.006,0.006,0.006,0.006,0.006,0.0,0.0
Komparatistische Literturwissenschaft,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Eye-Tracking,0.006,0.0,0.0,0.006,0.0,0.0,0.0
graphische Romane,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Umfrage,0.006,0.006,0.0,0.006,0.0,0.0,0.0
Forschungspraxis,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Forschungsaktivitäten,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Softwareeinsatz,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Spatial Humanities,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Visual Humanities,0.006,0.006,0.0,0.0,0.0,0.0,0.0
Kulturgeschichte,0.006,0.0,0.0,0.0,0.006,0.0,0.0
3D-Modelle,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Geowissenschaftliche Analyse,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Deutsche Geschichte,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Automated Toponym Resolution,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Wissenschaftssprache,0.006,0.0,0.006,0.0,0.0,0.0,0.0
Log-Likelihood-Test,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Bar Chart,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Mela Hartwig,0.006,0.0,0.0,0.0,0.0,0.0,0.0
digitale Kunstgeschichte,0.006,0.0,0.006,0.0,0.006,0.006,0.0
small data,0.006,0.0,0.0,0.0,0.0,0.0,0.0
räumliche Kunst,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Semantic annotation,0.006,0.0,0.0,0.0,0.0,0.0,0.0
linked open data,0.006,0.0,0.0,0.0,0.0,0.019,0.0
REST API,0.006,0.0,0.006,0.0,0.0,0.0,0.0
digitale Editionen,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Sprachdaten,0.006,0.0,0.006,0.0,0.0,0.0,0.0
User Experience,0.006,0.0,0.0,0.006,0.0,0.006,0.0
Klang,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Bild,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Information,0.006,0.0,0.006,0.0,0.0,0.0,0.0
Sonifkation,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Virtuelle Frouschungsumgebung,0.006,0.0,0.0,0.0,0.0,0.0,0.0
digitale Hermeneutik,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Throrie und Methoden der digitalen Geisteswissenschaften,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Text-Bild-Beziehung,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Kartographie,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Historische Klimatologie,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Weiße Flecken,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Fachkommunikation,0.006,0.0,0.0,0.0,0.006,0.0,0.0
Digitalität,0.006,0.0,0.019,0.0,0.0,0.0,0.0
Computer,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Kulturwissenschaft,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Knowledge Bases,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Computational Logic,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Inferences,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Named Entity Recognition,0.006,0.0,0.0,0.0,0.0,0.006,0.006
distant reading,0.006,0.0,0.0,0.0,0.0,0.0,0.0
close reading,0.006,0.0,0.0,0.0,0.0,0.0,0.0
erklärende Annotation,0.006,0.0,0.006,0.0,0.0,0.0,0.0
Projektbeschreibung,0.006,0.0,0.0,0.0,0.0,0.0,0.0
