,DHd 2016,DHd 2017,DHd 2018,DHd 2019,DHd 2020,DHd 2022,DHd 2023,Mean
Museum,0.0,1.09,0.0,0.0,0.73,1.3,0.76,0.55
Rezension,0.0,1.09,0.62,0.0,0.73,0.65,0.76,0.55
Repositorium,0.0,1.09,0.0,0.0,1.46,1.3,0.0,0.55
Kooperation,0.62,1.09,0.0,0.0,0.0,1.3,0.76,0.54
Narratologie,0.62,1.09,0.62,0.73,0.73,0.0,0.0,0.54
Big Data,0.62,1.09,0.62,0.73,0.73,0.0,0.0,0.54
Digitale Literaturwissenschaft,0.0,1.09,0.0,0.0,0.0,1.95,0.76,0.54
Keilschrift,1.25,1.09,0.62,0.73,0.0,0.0,0.0,0.53
Open Science,0.0,0.0,0.0,0.73,0.73,0.0,2.27,0.53
Tools,0.62,1.09,0.62,0.0,0.0,0.65,0.76,0.53
Publikation,0.0,0.0,0.0,0.73,0.73,0.65,1.52,0.52
Workflow,0.0,0.0,0.62,0.0,0.0,0.65,2.27,0.51
Intertextualität,0.0,0.0,0.62,1.46,0.73,0.0,0.76,0.51
Bildanalyse,1.25,1.09,1.25,0.0,0.0,0.0,0.0,0.51
maschinelles Lernen,0.0,0.0,0.62,0.73,0.73,0.65,0.76,0.5
semantic web,0.62,0.0,0.0,0.0,1.46,0.65,0.76,0.5
Daten,0.0,0.0,1.25,0.0,1.46,0.0,0.76,0.5
FDM,0.0,0.0,0.0,0.73,0.73,1.95,0.0,0.49
Kulturerbe,1.25,0.0,0.0,0.0,0.0,0.65,1.52,0.49
Philosophie,0.62,0.0,0.62,0.0,2.19,0.0,0.0,0.49
Korpuserstellung,0.0,0.0,0.0,0.73,0.73,1.95,0.0,0.49
Augmented Reality,0.0,0.0,1.25,2.19,0.0,0.0,0.0,0.49
Frühe Neuzeit,0.62,0.0,0.0,0.0,0.73,1.3,0.76,0.49
Analyse,0.0,0.0,1.25,1.46,0.0,0.65,0.0,0.48
Linguistik,0.62,0.0,1.25,1.46,0.0,0.0,0.0,0.48
HTR,0.0,0.0,0.0,0.0,0.0,2.6,0.76,0.48
Methoden,0.0,0.0,1.88,0.0,0.73,0.0,0.76,0.48
Multimodalität,0.62,0.0,0.62,0.73,0.0,1.3,0.0,0.47
Forschungssoftware,0.0,0.0,1.25,0.0,0.73,1.3,0.0,0.47
Biographie,0.0,1.09,0.0,0.73,1.46,0.0,0.0,0.47
Geschichte,0.0,0.0,1.25,0.0,0.73,1.3,0.0,0.47
Dramenanalyse,0.0,1.09,0.0,0.73,0.73,0.65,0.0,0.46
virtuelle Forschungsumgebung,0.0,1.09,0.62,0.73,0.0,0.0,0.76,0.46
Raum,0.0,1.09,0.0,0.0,0.73,1.3,0.0,0.45
kulturelles Erbe,0.0,1.09,0.62,0.0,0.0,0.65,0.76,0.45
Kritik,0.0,0.0,3.12,0.0,0.0,0.0,0.0,0.45
Datenkuratierung,0.62,1.09,0.0,0.0,0.0,0.65,0.76,0.45
Publizieren,0.62,1.09,0.0,0.0,0.0,0.65,0.76,0.45
Archivierung,1.25,0.0,1.25,0.0,0.0,0.65,0.0,0.45
Lizenzierung,0.0,1.09,0.62,0.0,0.73,0.65,0.0,0.44
Nutzerforschung,0.0,1.09,1.25,0.0,0.73,0.0,0.0,0.44
Comics,0.62,1.09,0.62,0.73,0.0,0.0,0.0,0.44
Twitter,0.0,1.09,0.62,0.73,0.0,0.65,0.0,0.44
Virtuelle Forschungsumgebung,1.25,1.09,0.0,0.0,0.0,0.0,0.76,0.44
Ambiguität,0.62,1.09,0.62,0.0,0.73,0.0,0.0,0.44
Hackathon,0.0,1.09,1.25,0.0,0.73,0.0,0.0,0.44
Wissenschaftsgeschichte,0.62,1.09,0.62,0.0,0.0,0.65,0.0,0.43
Datenmanagement,0.0,1.09,0.62,0.0,0.0,1.3,0.0,0.43
Digitales Publizieren,0.0,0.0,0.0,2.19,0.73,0.0,0.0,0.42
Komplexität,0.0,0.0,0.0,1.46,0.73,0.0,0.76,0.42
Datenzentren,0.62,1.09,1.25,0.0,0.0,0.0,0.0,0.42
Interaktion,0.0,0.0,0.62,0.0,0.73,0.0,1.52,0.41
Theoriebildung,0.0,0.0,0.62,0.73,0.0,0.0,1.52,0.41
Inhaltsanalyse,0.0,0.0,0.0,0.0,0.73,0.65,1.52,0.41
GND,0.0,0.0,0.62,0.0,0.73,0.0,1.52,0.41
Methodenkritik,0.0,0.0,0.0,0.73,0.73,0.65,0.76,0.41
Musikedition,0.62,0.0,0.0,0.73,0.73,0.0,0.76,0.41
Reflexion,0.0,0.0,0.0,0.73,0.73,0.65,0.76,0.41
CIDOC-CRM,0.0,0.0,0.62,0.73,1.46,0.0,0.0,0.4
Digital History,0.0,0.0,0.0,0.0,0.0,1.3,1.52,0.4
FAIR-Prinzipien,0.0,0.0,0.0,0.0,0.73,1.3,0.76,0.4
Dissemination,0.62,0.0,0.0,0.73,0.73,0.65,0.0,0.39
Lyrik,0.0,0.0,0.0,0.0,0.0,1.95,0.76,0.39
Dramen,0.62,0.0,0.0,0.73,0.73,0.65,0.0,0.39
Best Practices,0.62,0.0,0.62,0.0,0.73,0.0,0.76,0.39
Metaphern,0.62,0.0,0.0,0.0,0.73,0.65,0.76,0.39
Projektmanagement,0.0,0.0,0.62,0.0,0.73,0.65,0.76,0.39
Social Media,0.62,0.0,0.0,0.73,0.73,0.65,0.0,0.39
Tool,1.25,0.0,0.0,1.46,0.0,0.0,0.0,0.39
Interviews,0.0,0.0,0.62,0.73,0.73,0.65,0.0,0.39
Webapplikation,0.62,0.0,0.62,0.73,0.73,0.0,0.0,0.39
Topic Modelling,1.25,0.0,0.0,0.73,0.73,0.0,0.0,0.39
Archiv,0.62,0.0,0.0,0.73,0.0,0.65,0.76,0.39
Distant Viewing,0.0,0.0,1.25,0.73,0.0,0.0,0.76,0.39
Quellenkritik,0.0,0.0,0.62,0.73,0.0,1.3,0.0,0.38
NER,0.0,0.0,0.0,0.73,0.0,1.95,0.0,0.38
Korpusanalyse,0.62,0.0,0.0,0.0,0.73,1.3,0.0,0.38
Interdisziplinarität,0.0,0.0,0.62,0.0,0.73,1.3,0.0,0.38
linked open data,0.62,0.0,0.0,0.0,0.0,1.95,0.0,0.37
Datenaufbereitung,0.0,1.09,0.0,0.0,0.73,0.0,0.76,0.37
digitale Kunstgeschichte,0.62,0.0,0.62,0.0,0.73,0.65,0.0,0.37
Sentimentanalyse,0.0,0.0,1.88,0.0,0.73,0.0,0.0,0.37
Urheberrecht,0.0,0.0,1.88,0.0,0.73,0.0,0.0,0.37
Forschungsdateninfrastruktur,0.62,0.0,0.62,0.73,0.0,0.65,0.0,0.37
Workflows,0.62,0.0,0.62,0.73,0.0,0.65,0.0,0.37
Lexikographie,0.62,0.0,1.25,0.0,0.0,0.65,0.0,0.36
LOD,0.0,1.09,0.0,0.0,1.46,0.0,0.0,0.36
TOSCA,0.0,1.09,0.0,0.73,0.73,0.0,0.0,0.36
Digitalität,0.62,0.0,1.88,0.0,0.0,0.0,0.0,0.36
Recht,0.62,0.0,1.88,0.0,0.0,0.0,0.0,0.36
Moderne,0.0,1.09,0.0,0.0,0.0,0.65,0.76,0.36
text mining,0.62,0.0,0.62,0.0,0.0,1.3,0.0,0.36
virtuelle Forschungsumgebungen,0.0,1.09,0.62,0.73,0.0,0.0,0.0,0.35
Visuelle Analyse,0.62,1.09,0.0,0.0,0.0,0.0,0.76,0.35
IIIF,0.0,1.09,0.62,0.73,0.0,0.0,0.0,0.35
Zettelkasten,0.0,1.09,0.62,0.73,0.0,0.0,0.0,0.35
Strukturanalyse,0.0,1.09,0.0,0.73,0.0,0.65,0.0,0.35
Informationsextraktion,0.0,1.09,0.0,0.73,0.0,0.65,0.0,0.35
Umfrage,0.62,1.09,0.0,0.73,0.0,0.0,0.0,0.35
Bildrepositorien,0.0,1.09,0.62,0.0,0.73,0.0,0.0,0.35
Projekte,0.0,1.09,0.62,0.0,0.0,0.65,0.0,0.34
Eyetracking,0.0,1.09,0.0,0.0,0.0,1.3,0.0,0.34
POS,0.62,1.09,0.62,0.0,0.0,0.0,0.0,0.33
Bilddatenbanken,1.25,1.09,0.0,0.0,0.0,0.0,0.0,0.33
Stil,0.62,1.09,0.62,0.0,0.0,0.0,0.0,0.33
Rekonstruktion,0.0,0.0,0.0,0.73,0.73,0.0,0.76,0.32
NFDI,0.0,0.0,0.0,0.73,0.0,0.0,1.52,0.32
Gattung,0.0,0.0,0.0,0.73,0.73,0.0,0.76,0.32
Open Data,0.0,0.0,0.0,0.0,0.0,0.0,2.27,0.32
Annotationen,0.0,0.0,0.0,0.73,0.73,0.0,0.76,0.32
Vokabular,0.0,0.0,0.0,1.46,0.0,0.0,0.76,0.32
Mediävistik,0.0,0.0,0.0,0.0,1.46,0.0,0.76,0.32
Briefedition,0.0,0.0,0.62,0.0,0.0,0.0,1.52,0.31
Domain Driven Design,0.0,2.17,0.0,0.0,0.0,0.0,0.0,0.31
Annotieren,0.62,0.0,0.0,0.0,0.0,0.0,1.52,0.31
Bilddatenbank,0.0,2.17,0.0,0.0,0.0,0.0,0.0,0.31
Ereignisse,0.0,0.0,0.0,0.0,0.73,0.65,0.76,0.31
Behaviour Driven Development,0.0,2.17,0.0,0.0,0.0,0.0,0.0,0.31
Optical Character Recognition,0.0,0.0,0.0,1.46,0.73,0.0,0.0,0.31
Terminologie,0.0,0.0,0.0,0.0,0.73,0.65,0.76,0.31
Stilistik,0.0,2.17,0.0,0.0,0.0,0.0,0.0,0.31
Layoutanalyse,0.0,0.0,0.0,0.73,0.0,0.65,0.76,0.31
Virtual Reality,0.0,0.0,0.0,2.19,0.0,0.0,0.0,0.31
Datenanalyse,0.0,0.0,0.0,0.73,0.73,0.65,0.0,0.3
Syntax,0.0,0.0,0.62,0.73,0.73,0.0,0.0,0.3
Prototyp,0.0,0.0,0.0,1.46,0.0,0.65,0.0,0.3
Partizipation,0.0,0.0,0.62,0.0,0.73,0.0,0.76,0.3
Redewiedergabe,0.0,0.0,0.62,0.73,0.73,0.0,0.0,0.3
Bildverarbeitung,0.0,0.0,0.62,0.73,0.0,0.0,0.76,0.3
Plattform,0.62,0.0,0.0,0.0,0.73,0.0,0.76,0.3
Mustererkennung,0.62,0.0,0.0,0.73,0.73,0.0,0.0,0.3
Wissenschaftsblog,0.62,0.0,0.0,0.73,0.0,0.0,0.76,0.3
Multimedia,0.62,0.0,0.0,1.46,0.0,0.0,0.0,0.3
Handschriften,0.62,0.0,0.0,0.73,0.73,0.0,0.0,0.3
Lemmatisierung,0.62,0.0,0.0,0.73,0.73,0.0,0.0,0.3
Lebende Systeme,0.0,0.0,0.62,0.73,0.73,0.0,0.0,0.3
Theorie,0.0,0.0,0.62,0.73,0.0,0.0,0.76,0.3
Musik,0.0,0.0,0.0,0.0,1.46,0.65,0.0,0.3
Thesaurus,0.0,0.0,0.62,0.73,0.0,0.0,0.76,0.3
Epistemologie,0.0,0.0,0.62,0.0,1.46,0.0,0.0,0.3
Training,0.0,0.0,0.0,0.73,0.73,0.65,0.0,0.3
Diskursanalyse,0.62,0.0,0.0,0.73,0.0,0.0,0.76,0.3
Zeitungen,0.0,0.0,0.0,1.46,0.0,0.65,0.0,0.3
Interface,0.0,0.0,1.25,0.0,0.0,0.0,0.76,0.29
Sentiment Analysis,0.0,0.0,0.62,0.0,0.73,0.65,0.0,0.29
Aufklärung,0.0,0.0,0.62,0.0,0.73,0.65,0.0,0.29
Texterkennung,0.0,0.0,0.62,0.0,0.73,0.65,0.0,0.29
Neuronale Netze,0.0,0.0,0.62,0.0,0.0,0.65,0.76,0.29
FAIR,0.0,0.0,0.0,0.0,0.73,1.3,0.0,0.29
Lehre,0.0,0.0,0.62,0.0,0.73,0.65,0.0,0.29
Alignierung,0.62,0.0,0.0,0.73,0.0,0.65,0.0,0.29
Formalisierung,0.0,0.0,0.62,0.73,0.0,0.65,0.0,0.29
Transformation,0.0,0.0,0.62,0.73,0.0,0.65,0.0,0.29
digitale Briefedition,0.62,0.0,0.0,0.0,0.0,0.65,0.76,0.29
Kulturelle Sammlungen,0.0,0.0,0.62,0.0,0.0,0.65,0.76,0.29
Methodik,0.62,0.0,0.0,0.73,0.0,0.65,0.0,0.29
Historische Zeitungen,0.0,0.0,0.62,0.0,0.0,0.65,0.76,0.29
Sammlung,0.0,0.0,0.0,0.0,0.0,1.3,0.76,0.29
Bildannotation,0.62,0.0,0.0,0.0,0.0,0.65,0.76,0.29
Wissensmodellierung,1.25,0.0,0.0,0.0,0.0,0.0,0.76,0.29
Exploration,0.62,0.0,0.0,0.0,0.0,0.65,0.76,0.29
digitale Quellenkritik,0.0,0.0,0.0,0.73,0.0,1.3,0.0,0.29
Named Entity Recognition,0.62,0.0,0.0,0.0,0.0,0.65,0.76,0.29
User Experience,0.62,0.0,0.0,0.73,0.0,0.65,0.0,0.29
Projektplanung,0.0,0.0,0.62,0.73,0.0,0.65,0.0,0.29
Filmwissenschaft,0.0,0.0,0.0,0.0,0.0,1.3,0.76,0.29
Datenschutz,0.0,0.0,0.62,0.0,0.73,0.65,0.0,0.29
Research Software Engineering,0.0,0.0,0.62,0.0,0.0,0.65,0.76,0.29
Semantik,0.0,0.0,1.25,0.0,0.73,0.0,0.0,0.28
Algorithmen,0.62,0.0,0.62,0.73,0.0,0.0,0.0,0.28
Wissenschaftstheorie,0.62,0.0,0.62,0.0,0.73,0.0,0.0,0.28
Codierung,0.62,0.0,0.62,0.0,0.73,0.0,0.0,0.28
Usability,1.25,0.0,0.0,0.73,0.0,0.0,0.0,0.28
Distributionelle Semantik,0.0,0.0,1.25,0.73,0.0,0.0,0.0,0.28
Autorschaftsattribution,1.25,0.0,0.0,0.73,0.0,0.0,0.0,0.28
Hypertext,0.62,0.0,0.62,0.73,0.0,0.0,0.0,0.28
Sprachdokumentation,1.25,0.0,0.62,0.0,0.0,0.0,0.0,0.27
Filmanalyse,0.62,0.0,0.0,0.0,0.0,1.3,0.0,0.27
Märchen,0.62,0.0,0.62,0.0,0.0,0.65,0.0,0.27
Ontologien,1.25,0.0,0.62,0.0,0.0,0.0,0.0,0.27
Automatisierung,0.62,0.0,1.25,0.0,0.0,0.0,0.0,0.27
Architekturgeschichte,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.27
Austausch,0.0,0.0,1.25,0.0,0.0,0.65,0.0,0.27
Geschichtswissenschaft,0.0,1.09,0.0,0.73,0.0,0.0,0.0,0.26
historische Sprachen,0.0,1.09,0.0,0.73,0.0,0.0,0.0,0.26
Reproduktion,0.0,1.09,0.0,0.73,0.0,0.0,0.0,0.26
k-means,0.0,1.09,0.0,0.0,0.0,0.0,0.76,0.26
Nachlass,0.0,1.09,0.0,0.0,0.0,0.0,0.76,0.26
Textgenetik,0.0,1.09,0.0,0.0,0.73,0.0,0.0,0.26
Kulturelles Erbe,0.0,1.09,0.0,0.0,0.0,0.0,0.76,0.26
Digitale Textanalyse,0.0,1.09,0.0,0.0,0.0,0.0,0.76,0.26
SPARQL,0.0,1.09,0.0,0.0,0.0,0.0,0.76,0.26
Community-Building,0.0,1.09,0.0,0.0,0.73,0.0,0.0,0.26
Web-App,0.0,1.09,0.0,0.73,0.0,0.0,0.0,0.26
Textkodierung,0.0,1.09,0.0,0.73,0.0,0.0,0.0,0.26
Dokumentanalyse,0.0,1.09,0.0,0.0,0.73,0.0,0.0,0.26
Biographiedaten,0.0,1.09,0.0,0.0,0.0,0.65,0.0,0.25
Metapher,0.0,1.09,0.0,0.0,0.0,0.65,0.0,0.25
Methodenvergleich,0.0,1.09,0.0,0.0,0.0,0.65,0.0,0.25
Kontrollierte Vokabularien,0.0,1.09,0.0,0.0,0.0,0.65,0.0,0.25
Übersicht,0.0,1.09,0.0,0.0,0.0,0.65,0.0,0.25
Datenrepositorium,0.0,1.09,0.0,0.0,0.0,0.65,0.0,0.25
relNet,0.0,1.09,0.62,0.0,0.0,0.0,0.0,0.24
shared task,0.0,1.09,0.62,0.0,0.0,0.0,0.0,0.24
Platon,0.0,1.09,0.62,0.0,0.0,0.0,0.0,0.24
Langzeitprojekt,0.62,1.09,0.0,0.0,0.0,0.0,0.0,0.24
topic modeling,0.0,1.09,0.62,0.0,0.0,0.0,0.0,0.24
CMC,0.62,1.09,0.0,0.0,0.0,0.0,0.0,0.24
religiöser Online-Kommunikation,0.0,1.09,0.62,0.0,0.0,0.0,0.0,0.24
Datenföderation,0.62,1.09,0.0,0.0,0.0,0.0,0.0,0.24
Visual Humanities,0.62,1.09,0.0,0.0,0.0,0.0,0.0,0.24
digital humanities,0.0,1.09,0.62,0.0,0.0,0.0,0.0,0.24
topic models,0.0,1.09,0.62,0.0,0.0,0.0,0.0,0.24
Automatisierte Handschriftenerkennung,0.62,1.09,0.0,0.0,0.0,0.0,0.0,0.24
LDA,0.0,1.09,0.62,0.0,0.0,0.0,0.0,0.24
Tagging,0.0,1.09,0.62,0.0,0.0,0.0,0.0,0.24
Begleitforschung,0.62,1.09,0.0,0.0,0.0,0.0,0.0,0.24
Erfolgskriterien,0.62,1.09,0.0,0.0,0.0,0.0,0.0,0.24
Graphdatenbanken,0.62,1.09,0.0,0.0,0.0,0.0,0.0,0.24
Grounded Theory,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.22
Biografiedaten,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.22
Text+,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.22
Open Culture,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.22
Open Humanities,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.22
Ontology Engineering,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.22
Chatbot,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.22
Emotion,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.22
Religion,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.22
Evaluierung,0.0,0.0,0.0,1.46,0.0,0.0,0.0,0.21
Schulbücher,0.0,0.0,0.0,0.0,0.73,0.0,0.76,0.21
Narrativität,0.0,0.0,0.0,0.73,0.0,0.0,0.76,0.21
Werkgenese,0.0,0.0,0.0,0.73,0.0,0.0,0.76,0.21
FRBR,0.0,0.0,0.0,0.73,0.73,0.0,0.0,0.21
Entitätenreferenzen,0.0,0.0,0.0,0.73,0.73,0.0,0.0,0.21
Schriftart,0.0,0.0,0.0,0.73,0.73,0.0,0.0,0.21
3D-Rekonstruktion,0.0,0.0,0.0,0.73,0.73,0.0,0.0,0.21
maschinelle Lernverfahren,0.0,0.0,0.0,0.73,0.73,0.0,0.0,0.21
Hochliteratur,0.0,0.0,0.0,0.73,0.73,0.0,0.0,0.21
medieval,0.0,0.0,0.0,0.0,1.46,0.0,0.0,0.21
Variationslinguistik,0.0,0.0,0.0,0.73,0.73,0.0,0.0,0.21
Open Semantic Search,0.0,0.0,0.0,1.46,0.0,0.0,0.0,0.21
Apache Solr,0.0,0.0,0.0,1.46,0.0,0.0,0.0,0.21
audiovisuell,0.0,0.0,0.0,1.46,0.0,0.0,0.0,0.21
Koordination,0.0,0.0,0.0,0.73,0.73,0.0,0.0,0.21
Transdisziplinarität,0.0,0.0,0.0,0.73,0.0,0.0,0.76,0.21
Graphentechnologien,0.0,0.0,0.0,1.46,0.0,0.0,0.0,0.21
Handwritten Text Recognition,0.0,0.0,0.0,0.73,0.73,0.0,0.0,0.21
Ressource,0.0,0.0,0.0,0.73,0.0,0.0,0.76,0.21
Tanz,0.0,0.0,0.0,0.73,0.73,0.0,0.0,0.21
Digitale Bibliothek,0.0,0.0,0.0,0.73,0.0,0.0,0.76,0.21
Statistik,0.0,0.0,0.0,0.73,0.0,0.0,0.76,0.21
Distributional Semantics,0.0,0.0,0.0,0.73,0.73,0.0,0.0,0.21
Sprachkorpora,0.0,0.0,0.0,1.46,0.0,0.0,0.0,0.21
Verba Dicendi,0.0,0.0,0.0,0.73,0.73,0.0,0.0,0.21
Digitale Kunstgeschichte,0.0,0.0,0.0,0.73,0.0,0.0,0.76,0.21
Clustering,0.0,0.0,0.0,0.0,0.73,0.0,0.76,0.21
Bias,0.0,0.0,0.0,0.0,1.46,0.0,0.0,0.21
Synopse,0.0,0.0,0.0,0.0,0.73,0.0,0.76,0.21
schema,0.0,0.0,0.0,0.0,1.46,0.0,0.0,0.21
Web Annotation Data Model,0.0,0.0,0.0,1.46,0.0,0.0,0.0,0.21
cooking recipes,0.0,0.0,0.0,0.0,1.46,0.0,0.0,0.21
middle ages,0.0,0.0,0.0,0.0,1.46,0.0,0.0,0.21
Forschungsergebnis,0.0,0.0,0.0,1.46,0.0,0.0,0.0,0.21
Dubletten,0.0,0.0,0.0,0.73,0.73,0.0,0.0,0.21
Critical Machine Vision,0.0,0.0,0.0,0.0,0.73,0.0,0.76,0.21
information retrieval,0.0,0.0,0.0,0.0,1.46,0.0,0.0,0.21
Software-Stacks,0.0,0.0,0.0,0.73,0.73,0.0,0.0,0.21
